Name,Address,City,State,Undergraduate Enrollment,Road Distance (mi),Travel Time One Way (hr)
Lincoln Technical Institute-Hartford,85 Sigourney Street,Hartford,CT,844,53.0029463,0.95
Goodwin College,One Riverside Drive,East Hartford,CT,5151,54.3699625,0.983333333
Bard College at Simon's Rock,84 Alford Rd,Great Barrington,MA,377,69.593552,1.333333333
Trinity College,300 Summit St,Hartford,CT,2455,53.8107286,1
Albert I Prince Technical High School,401 Flatbush Avenue,Hartford,CT,63,55.0534706,1
Spa Tech Institute-Westboro,227 Turnpike Rd.  - Suite 1,Westboro,MA,136,64.622584,1.35
Fox Institute of Business-West Hartford,99 South Street,West Hartford,CT,506,56.1719384,1.033333333
Sanford-Brown College-Farmington,270 Farmington Av," Suite 245""",Farmington,279,61.3293177,1.083333333
International Institute of Cosmetology,632 Silas Deane Hwy,Wethersfield,CT,192,55.7991158,0.983333333
Southern Vermont College,982 Mansion Drive,Bennington,VT,599,67.108068,1.666666667
Eastern Connecticut State University,83 Windham St,Willimantic,CT,5932,77.671375,1.383333333
Windham Technical High School,210 Birch St,Willimantic,CT,16,76.428633,1.4
Windham Memorial Hospital-Radiologic Technology Program,112 Mansfield Avenue,Willimantic,CT,20,76.428633,1.4
Assabet Valley Regional Technical School,215 Fitchburg St,Marlborough,MA,45,72.079036,1.416666667
Blackstone Valley Vocational Regional School District,65 Pleasant St,Upton,MA,31,64.622584,1.383333333
Connecticut Center for Massage Therapy-Newington,75 Kitts Lane,Newington,CT,457,58.408874,1.05
Central Connecticut State University,1615 Stanley St,New Britain,CT,11498,61.4535919,1.116666667
Charter Oak State College,55 Paul Manafort Drive,New Britain,CT,2592,61.4535919,1.1
Tunxis Community College,271 Scott Swamp Road,Farmington,CT,6870,65.243955,1.183333333
Quinebaug Valley Community College,742 Upper Maple St,Danielson,CT,2971,78.292746,1.533333333
Bennington College,One College Drive,Bennington,VT,707,69.593552,1.616666667
Lincoln Technical Institute-New Britain,200 John Downey Dr,New Britain,CT,853,62.1371,1.15
Bristol Technical Education Center,431 Minor Street,Bristol,CT,52,73.943149,1.4
Holy Apostles College and Seminary,33 Prospect Hill Road,Cromwell,CT,83,65.865326,1.166666667
Lincoln Technical Institute-Cromwell,106 Sebethe Dr,Cromwell,CT,0,64.622584,1.133333333
Lincoln College of New England-Southington,2279 Mount Vernon Road,Southington,CT,1428,72.079036,1.283333333
Framingham State University,100 State Street,Framingham,MA,5372,73.321778,1.45
Empire Beauty School-Framingham,624 Worcester Rd,Framingham,MA,162,74.56452,1.45
Branford Hall Career Institute-Southington Campus,35 N Main St,Southington,CT,950,69.593552,1.233333333
Wesleyan University,237 High St,Middletown,CT,3154,68.35081,1.216666667
Daniel Webster College,20 University Dr,Nashua,NH,729,73.943149,1.7
Nashua Community College,505 Amherst St,Nashua,NH,3398,76.428633,1.75
Middlesex Community College,100 Training Hill Rd,Middletown,CT,4490,70.836294,1.25
St Joseph School of Nursing,5 Woodward Ave,Nashua,NH,169,88.234682,1.683333333
Ace Cosmetology and Barber Training Center,534 Wolcott Rd Ste C,Wolcott,CT,11,75.807262,1.416666667
Rivier University,420 South Main St,Nashua,NH,1918,88.234682,1.65
Vinal Technical High School,60 Daniels St,Middletown,CT,40,71.457665,1.283333333
Bryant University,1150 Douglas Pike,Smithfield,RI,3286,81.399601,1.633333333
Tri County Regional Vocational Technical High School,147 Pond St,Franklin,MA,68,81.399601,1.533333333
Thomas More College of Liberal Arts,6 Manchester St,Merrimack,NH,97,93.827021,1.75
Marinello Schools of Beauty-Meriden,1231 E Main St,Meriden,CT,821,70.836294,1.216666667
Belle Academy of Cosmetology,27A South Commons Road,Waterbury,CT,2,85.127827,1.5
Greater Lowell Technical School,250 Pawtucket Blvd,Tyngsboro,MA,83,80.156859,1.6
New Hampshire Institute for Therapeutic Arts,153 Lowell Rd,Hudson,NH,42,87.613311,1.65
Continental Academie of Hair Design-Hudson,102 Derry St,Hudson,NH,105,90.098795,1.75
